,0
572,22.0
573,27.0
574,24.0
575,22.0
576,24.0
577,30.0
578,33.0
579,20.0
580,29.0
581,20.0
582,35.0
583,32.0
584,23.0
585,31.0
586,23.0
587,24.0
588,32.0
589,37.0
590,37.0
591,30.0
592,29.0
593,34.0
594,44.0
595,31.0
596,26.0
597,30.0
598,40.0
599,30.0
600,30.0
601,34.0
602,33.0
603,38.0
604,35.0
605,41.0
606,25.0
607,28.0
608,25.0
609,34.0
610,35.0
611,32.0
612,26.0
613,35.0
614,36.0
615,29.0
616,34.0
617,26.0
618,19.0
619,25.0
620,28.0
621,34.0
622,28.0
623,31.0
624,28.0
625,34.0
626,25.0
627,29.0
628,23.0
629,23.0
630,20.0
631,25.0
632,29.0
633,20.0
634,26.0
635,26.0
636,27.0
637,15.0
638,22.0
639,26.0
640,22.0
641,24.0
642,16.0
643,30.0
644,32.0
645,28.0
646,32.0
647,24.0
648,18.0
649,17.0
650,19.0
651,26.0
652,18.0
653,24.0
654,13.0
655,16.0
656,22.0
657,27.0
658,24.0
659,14.0
660,14.0
661,25.0
662,22.0
663,17.0
664,19.0
665,15.0
666,15.0
667,14.0
668,20.0
669,21.0
670,17.0
671,16.0
672,11.0
673,18.0
674,14.0
675,16.0
676,16.0
677,14.0
678,14.0
679,16.0
680,13.0
681,13.0
682,15.0
683,8.0
684,11.0
685,8.0
686,13.0
687,9.0
688,12.0
689,17.0
690,9.0
691,8.0
692,10.0
693,14.0
694,10.0
695,11.0
696,15.0
697,10.0
698,13.0
699,9.0
700,5.0
701,18.0
702,8.0
703,14.0
704,11.0
705,6.0
706,11.0
707,6.0
708,8.0
709,6.0
710,8.0
711,7.0
712,6.0
713,9.0
714,4.0
715,5.0
716,9.0
717,4.0
718,4.0
719,5.0
720,1.0
721,7.0
722,5.0
723,5.0
724,6.0
725,3.0
726,6.0
727,4.0
728,5.0
729,3.0
730,5.0
731,4.0
732,5.0
733,6.0
734,1.0
735,4.0
736,3.0
737,6.0
738,3.0
739,3.0
740,3.0
741,3.0
742,1.0
743,3.0
744,3.0
745,0.0
746,4.0
747,1.0
748,5.0
749,2.0
750,3.0
751,1.0
752,6.0
753,0.0
754,0.0
755,2.0
756,2.0
757,3.0
758,0.0
759,1.0
760,3.0
761,2.0
762,1.0
763,2.0
764,1.0
765,3.0
766,1.0
767,1.0
768,1.0
769,1.0
770,1.0
771,1.0
772,0.0
773,1.0
774,0.0
775,0.0
776,1.0
777,1.0
778,0.0
779,1.0
780,2.0
781,0.0
782,2.0
783,0.0
784,0.0
785,1.0
786,0.0
787,0.0
788,0.0
789,1.0
790,0.0
791,0.0
792,1.0
793,0.0
794,1.0
795,1.0
796,0.0
797,0.0
798,0.0
799,0.0
800,1.0
801,1.0
802,1.0
803,0.0
804,0.0
805,1.0
806,0.0
807,0.0
808,0.0
809,1.0
810,0.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
824,0.0
825,0.0
826,0.0
827,0.0
828,0.0
829,0.0
830,0.0
831,0.0
832,0.0
833,0.0
834,0.0
835,0.0
836,0.0
837,0.0
838,1.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,0.0
846,0.0
847,0.0
848,0.0
849,0.0
850,0.0
851,0.0
852,0.0
853,0.0
854,0.0
855,0.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,1.0
